<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
D&J-IND,60,20110101,010000,11581.9700000,11582.4300000,11577.5100000,11577.5100000,0
D&J-IND,60,20110103,180000,11580.7600000,11694.5900000,11577.3500000,11693.6800000,0
D&J-IND,60,20110103,190000,11694.0600000,11704.4600000,11677.2600000,11701.6300000,0
D&J-IND,60,20110103,200000,11702.0100000,11711.4700000,11693.0700000,11701.4800000,0
D&J-IND,60,20110103,210000,11701.5500000,11709.9900000,11693.8300000,11699.0900000,0
D&J-IND,60,20110103,220000,11699.3900000,11707.3000000,11697.2000000,11705.6400000,0
D&J-IND,60,20110103,230000,11705.8300000,11709.6900000,11695.3800000,11698.9800000,0
D&J-IND,60,20110105,180000,11689.7400000,11689.9700000,11652.8900000,11667.1200000,0
D&J-IND,60,20110105,190000,11669.0100000,11690.3900000,11663.8200000,11680.8100000,0
D&J-IND,60,20110105,200000,11680.7400000,11726.1100000,11674.1900000,11718.5800000,0
D&J-IND,60,20110105,210000,11718.6200000,11740.3400000,11717.9400000,11735.4900000,0
D&J-IND,60,20110105,220000,11735.3400000,11742.6800000,11722.2100000,11736.4800000,0
D&J-IND,60,20110105,230000,11736.6300000,11739.9200000,11719.2600000,11728.1900000,0
D&J-IND,60,20110106,000000,11728.1200000,11737.7300000,11716.2300000,11723.2700000,0
D&J-IND,60,20110106,010000,11724.7100000,11724.7100000,11722.8900000,11722.8900000,0
D&J-IND,60,20110106,180000,11717.5400000,11729.5900000,11709.0400000,11709.0400000,0
D&J-IND,60,20110106,190000,11708.8900000,11736.7400000,11701.4400000,11706.9600000,0
D&J-IND,60,20110106,200000,11707.0400000,11707.2700000,11667.4600000,11683.6900000,0
D&J-IND,60,20110106,210000,11683.8000000,11695.6500000,11670.2200000,11690.3900000,0
D&J-IND,60,20110106,220000,11690.3100000,11699.3200000,11675.1000000,11699.2000000,0
D&J-IND,60,20110106,230000,11699.9600000,11707.0000000,11673.2500000,11680.5900000,0
D&J-IND,60,20110107,000000,11680.8100000,11703.1800000,11670.8200000,11696.1000000,0
D&J-IND,60,20110107,010000,11694.2100000,11697.3100000,11694.2100000,11697.3100000,0
D&J-IND,60,20110107,180000,11694.8200000,11726.9400000,11682.8200000,11689.9300000,0
D&J-IND,60,20110107,190000,11690.1600000,11716.2300000,11673.9300000,11685.7000000,0
D&J-IND,60,20110107,200000,11685.4700000,11687.4700000,11635.9300000,11654.7400000,0
D&J-IND,60,20110107,210000,11654.5900000,11655.3800000,11599.6800000,11625.4100000,0
D&J-IND,60,20110107,220000,11626.7000000,11651.6800000,11623.1400000,11639.6400000,0
D&J-IND,60,20110107,230000,11639.7200000,11665.6800000,11637.9400000,11656.7500000,0
D&J-IND,60,20110108,000000,11656.8200000,11679.0700000,11652.4300000,11674.5300000,0
D&J-IND,60,20110108,010000,11674.1500000,11674.9100000,11673.8500000,11674.7600000,0
D&J-IND,60,20110110,180000,11672.9400000,11677.3300000,11573.8700000,11578.8700000,0
D&J-IND,60,20110110,190000,11580.1200000,11622.2700000,11575.6100000,11604.3000000,0
D&J-IND,60,20110110,200000,11604.1500000,11632.5300000,11591.1700000,11631.5100000,0
D&J-IND,60,20110110,210000,11631.5800000,11639.7900000,11619.5100000,11628.4000000,0
D&J-IND,60,20110110,220000,11628.0200000,11640.3200000,11627.2300000,11632.0400000,0
D&J-IND,60,20110110,230000,11631.8800000,11645.0900000,11618.3400000,11641.6100000,0
D&J-IND,60,20110111,000000,11641.6900000,11650.3900000,11634.5300000,11637.8600000,0
D&J-IND,60,20110111,010000,11637.6700000,11637.6700000,11636.9200000,11637.4500000,0
D&J-IND,60,20110111,180000,11638.5100000,11698.7500000,11638.4300000,11673.1300000,0
D&J-IND,60,20110111,190000,11673.0600000,11690.7700000,11671.3900000,11688.9500000,0
D&J-IND,60,20110111,200000,11689.1400000,11704.1200000,11684.6400000,11691.1100000,0
D&J-IND,60,20110111,210000,11690.8000000,11699.7000000,11683.7700000,11698.0300000,0
D&J-IND,60,20110111,220000,11697.9600000,11701.2500000,11648.6500000,11651.3400000,0
D&J-IND,60,20110111,230000,11651.4100000,11667.8300000,11635.4800000,11665.2600000,0
D&J-IND,60,20110112,000000,11665.4100000,11679.7200000,11660.2700000,11671.8800000,0
D&J-IND,60,20110112,010000,11672.6400000,11672.7900000,11671.8100000,11671.8800000,0
D&J-IND,60,20110112,180000,11673.6200000,11733.4900000,11673.6200000,11728.2700000,0
D&J-IND,60,20110112,190000,11727.9600000,11759.2600000,11725.0100000,11754.5300000,0
D&J-IND,60,20110112,200000,11754.7200000,11777.0500000,11751.9200000,11768.8700000,0
D&J-IND,60,20110112,210000,11768.7200000,11782.2300000,11765.4300000,11765.9600000,0
D&J-IND,60,20110112,220000,11765.8400000,11768.5700000,11758.8400000,11767.9600000,0
D&J-IND,60,20110112,230000,11767.8900000,11768.2300000,11755.7000000,11762.6700000,0
D&J-IND,60,20110113,000000,11762.3600000,11762.4800000,11738.5600000,11755.8200000,0
D&J-IND,60,20110113,010000,11755.7400000,11755.7400000,11755.2900000,11755.4400000,0
D&J-IND,60,20110113,180000,11754.4500000,11757.2500000,11731.8600000,11741.9300000,0
D&J-IND,60,20110113,190000,11742.5300000,11744.3500000,11716.5700000,11736.2500000,0
D&J-IND,60,20110113,200000,11736.4800000,11751.3900000,11732.7300000,11735.4200000,0
D&J-IND,60,20110113,210000,11735.2700000,11746.5400000,11729.4400000,11736.4800000,0
D&J-IND,60,20110113,220000,11735.1200000,11736.5500000,11721.6400000,11727.9300000,0
D&J-IND,60,20110113,230000,11727.8500000,11729.8900000,11703.1800000,11709.7600000,0
D&J-IND,60,20110114,000000,11709.9100000,11731.1400000,11700.5300000,11730.7600000,0
D&J-IND,60,20110114,010000,11731.2200000,11731.9000000,11731.2200000,11731.9000000,0
D&J-IND,60,20110114,180000,11732.1300000,11733.4900000,11698.8300000,11725.0100000,0
D&J-IND,60,20110114,190000,11725.4700000,11755.9700000,11715.1400000,11747.4900000,0
D&J-IND,60,20110114,200000,11747.3400000,11761.0400000,11745.0700000,11751.5000000,0
D&J-IND,60,20110114,210000,11751.6900000,11770.8400000,11751.2400000,11762.1700000,0
D&J-IND,60,20110114,220000,11762.1000000,11786.7300000,11760.0200000,11782.2300000,0
D&J-IND,60,20110114,230000,11782.1200000,11794.1500000,11779.5800000,11782.0000000,0
D&J-IND,60,20110115,000000,11782.3100000,11791.8800000,11774.3200000,11785.9400000,0
D&J-IND,60,20110115,010000,11786.0100000,11787.4500000,11786.0100000,11787.3800000,0
D&J-IND,60,20110118,180000,11784.1200000,11821.9300000,11777.9900000,11814.6200000,0
D&J-IND,60,20110118,190000,11814.6600000,11849.0200000,11805.9900000,11832.2200000,0
D&J-IND,60,20110118,200000,11832.3700000,11858.7800000,11832.3700000,11851.2900000,0
D&J-IND,60,20110118,210000,11851.3700000,11853.9800000,11844.1400000,11849.8500000,0
D&J-IND,60,20110118,220000,11849.8900000,11855.0700000,11840.0100000,11843.9900000,0
D&J-IND,60,20110118,230000,11843.6100000,11854.5100000,11841.9100000,11849.9300000,0
D&J-IND,60,20110119,000000,11850.0000000,11854.5800000,11833.7300000,11837.7100000,0
D&J-IND,60,20110119,010000,11837.1000000,11839.2900000,11837.1000000,11837.9300000,0
D&J-IND,60,20110119,180000,11834.8900000,11860.1500000,11819.9800000,11840.5100000,0
D&J-IND,60,20110119,190000,11840.6600000,11861.2400000,11817.6900000,11835.0600000,0
D&J-IND,60,20110119,200000,11835.1300000,11846.3300000,11822.6400000,11836.4600000,0
D&J-IND,60,20110119,210000,11836.6100000,11841.7500000,11809.5500000,11821.1700000,0
D&J-IND,60,20110119,220000,11821.0900000,11843.9500000,11813.2200000,11839.1400000,0
D&J-IND,60,20110119,230000,11839.3700000,11841.3800000,11800.3900000,11814.7700000,0
D&J-IND,60,20110120,000000,11814.6200000,11825.5200000,11798.4600000,11825.2200000,0
D&J-IND,60,20110120,010000,11825.7500000,11826.7300000,11825.0700000,11825.2900000,0
D&J-IND,60,20110120,180000,11823.7000000,11823.9300000,11773.7500000,11815.4200000,0
D&J-IND,60,20110120,190000,11814.2800000,11829.8000000,11744.7700000,11747.1500000,0
D&J-IND,60,20110120,200000,11747.7900000,11783.2100000,11745.8600000,11782.1200000,0
D&J-IND,60,20110120,210000,11782.1900000,11813.1100000,11780.5600000,11809.2500000,0
D&J-IND,60,20110120,220000,11809.7000000,11822.4200000,11790.7100000,11822.3800000,0
D&J-IND,60,20110120,230000,11822.1900000,11845.1600000,11813.7100000,11831.2000000,0
D&J-IND,60,20110121,000000,11831.1200000,11831.1600000,11798.9900000,11823.9700000,0
D&J-IND,60,20110121,010000,11824.6900000,11825.2200000,11822.8700000,11822.8700000,0
D&J-IND,60,20110121,180000,11824.6100000,11901.7000000,11824.6100000,11900.2200000,0
D&J-IND,60,20110121,190000,11900.5600000,11905.4800000,11866.5800000,11876.1500000,0
D&J-IND,60,20110121,200000,11875.9300000,11884.7000000,11851.5900000,11868.0200000,0
D&J-IND,60,20110121,210000,11867.9400000,11884.0600000,11855.1100000,11859.7700000,0
D&J-IND,60,20110121,220000,11860.1100000,11880.5800000,11850.2300000,11877.5900000,0
D&J-IND,60,20110121,230000,11877.9300000,11887.1300000,11871.3500000,11876.0400000,0
D&J-IND,60,20110122,000000,11875.9600000,11888.4900000,11860.5600000,11873.2000000,0
D&J-IND,60,20110122,010000,11872.8200000,11872.9700000,11871.7600000,11871.8400000,0
D&J-IND,60,20110124,180000,11874.0300000,11913.5000000,11867.9800000,11898.8600000,0
D&J-IND,60,20110124,190000,11898.5500000,11931.9700000,11892.8400000,11930.3400000,0
D&J-IND,60,20110124,200000,11928.3700000,11955.8500000,11926.4100000,11951.6100000,0
D&J-IND,60,20110124,210000,11951.6800000,11968.3000000,11951.6500000,11954.5200000,0
D&J-IND,60,20110124,220000,11954.3000000,11980.2900000,11951.3400000,11970.6400000,0
D&J-IND,60,20110124,230000,11970.4200000,11982.9400000,11956.4500000,11959.1000000,0
D&J-IND,60,20110125,000000,11958.8000000,11980.0700000,11946.3100000,11979.0800000,0
D&J-IND,60,20110125,010000,11979.9100000,11980.5200000,11979.6100000,11980.5200000,0
D&J-IND,60,20110125,180000,11980.9000000,11980.9000000,11939.7600000,11963.7900000,0
D&J-IND,60,20110125,190000,11971.0600000,11985.9700000,11936.8900000,11954.6700000,0
D&J-IND,60,20110125,200000,11954.7500000,11955.6200000,11909.0700000,11921.4500000,0
D&J-IND,60,20110125,210000,11921.1500000,11957.7400000,11921.0700000,11951.1900000,0
D&J-IND,60,20110125,220000,11951.2300000,11953.9500000,11928.4100000,11941.2800000,0
D&J-IND,60,20110125,230000,11940.8600000,11940.8600000,11898.7400000,11914.2200000,0
D&J-IND,60,20110126,000000,11916.2600000,11979.7600000,11915.5800000,11977.4200000,0
D&J-IND,60,20110126,010000,11976.8900000,11977.1900000,11976.5100000,11977.1900000,0
D&J-IND,60,20110126,180000,11978.8500000,11987.5600000,11961.8300000,11983.3600000,0
D&J-IND,60,20110126,190000,11983.8900000,12020.5200000,11978.4400000,11990.7400000,0
D&J-IND,60,20110126,200000,11991.3400000,11996.3400000,11966.5200000,11979.2000000,0
D&J-IND,60,20110126,210000,11979.4200000,12002.3500000,11975.8700000,12000.5400000,0
D&J-IND,60,20110126,220000,12000.5800000,12011.2500000,11994.5600000,12005.6100000,0
D&J-IND,60,20110126,230000,12004.5100000,12019.6500000,11978.8200000,12007.9500000,0
D&J-IND,60,20110127,000000,12007.8800000,12014.5000000,11985.6700000,11985.6700000,0
D&J-IND,60,20110127,010000,11985.3600000,11985.9700000,11984.5300000,11985.4400000,0
D&J-IND,60,20110127,180000,11985.3600000,12003.9800000,11972.4200000,12002.6200000,0
D&J-IND,60,20110127,190000,12001.8600000,12019.5300000,11982.7900000,12006.7400000,0
D&J-IND,60,20110127,200000,12006.9000000,12008.0300000,11971.9300000,11985.8900000,0
D&J-IND,60,20110127,210000,11986.0400000,12005.7200000,11985.8900000,12002.1700000,0
D&J-IND,60,20110127,220000,12002.1300000,12003.7900000,11988.6600000,11996.3800000,0
D&J-IND,60,20110127,230000,11996.5300000,12001.9000000,11979.9100000,11998.6100000,0
D&J-IND,60,20110128,000000,11998.8400000,12010.3000000,11979.2700000,11990.4300000,0
D&J-IND,60,20110128,010000,11989.6800000,11989.9000000,11989.0000000,11989.8300000,0
D&J-IND,60,20110128,180000,11990.3600000,12012.0400000,11988.6900000,11989.0300000,0
D&J-IND,60,20110128,190000,11988.7700000,11989.9000000,11914.3000000,11919.4400000,0
D&J-IND,60,20110128,200000,11917.4000000,11930.3400000,11847.3900000,11854.2400000,0
D&J-IND,60,20110128,210000,11853.5600000,11863.9300000,11812.9600000,11852.0100000,0
D&J-IND,60,20110128,220000,11852.3500000,11852.9200000,11811.9400000,11850.6100000,0
D&J-IND,60,20110128,230000,11850.8700000,11855.3400000,11823.0200000,11838.9900000,0
D&J-IND,60,20110129,000000,11839.1400000,11842.9300000,11803.0400000,11824.6100000,0
D&J-IND,60,20110129,010000,11825.2900000,11825.2900000,11823.7000000,11823.7000000,0
D&J-IND,60,20110131,180000,11824.2300000,11869.5700000,11819.7700000,11827.6400000,0
D&J-IND,60,20110131,190000,11825.8200000,11857.4200000,11820.8300000,11853.9000000,0
D&J-IND,60,20110131,200000,11854.3600000,11863.8900000,11845.4600000,11853.1400000,0
D&J-IND,60,20110131,210000,11853.0300000,11888.2600000,11852.4600000,11875.8900000,0
D&J-IND,60,20110131,220000,11876.0400000,11883.4900000,11862.9800000,11868.2400000,0
D&J-IND,60,20110131,230000,11868.1700000,11872.9700000,11839.7100000,11854.2800000,0
D&J-IND,60,20110201,000000,11854.5100000,11890.6500000,11853.5200000,11889.5900000,0
D&J-IND,60,20110201,010000,11890.0800000,11891.9300000,11889.2800000,11891.9300000,0
D&J-IND,60,20110201,180000,11892.5000000,11966.3300000,11892.5000000,11965.2300000,0
D&J-IND,60,20110201,190000,11966.7500000,11990.4700000,11946.9500000,11986.9900000,0
D&J-IND,60,20110201,200000,11986.9500000,12007.7300000,11978.4400000,11996.6000000,0
D&J-IND,60,20110201,210000,11996.9800000,12038.8000000,11996.2200000,12037.8900000,0
D&J-IND,60,20110201,220000,12038.0400000,12043.7200000,12027.1800000,12027.1800000,0
D&J-IND,60,20110201,230000,12027.0600000,12037.4000000,12020.8600000,12035.0500000,0
D&J-IND,60,20110202,000000,12035.3100000,12050.7500000,12027.2200000,12037.1300000,0
D&J-IND,60,20110202,010000,12036.0700000,12040.1600000,12035.9200000,12040.1600000,0
D&J-IND,60,20110202,180000,12030.7000000,12046.8600000,12018.5100000,12041.0700000,0
D&J-IND,60,20110202,190000,12042.1300000,12054.4600000,12021.0100000,12042.9600000,0
D&J-IND,60,20110202,200000,12042.5000000,12048.6300000,12025.1400000,12048.5600000,0
