Date,Time,Open,High,Low,Close,Volume,OpenInt
2016-12-27,10:00:00,11457.91,11475.61,11454.97,11464.83,3209509,0
2016-12-27,11:00:00,11464.94,11468.88,11458.44,11462.59,2799599,0
2016-12-27,12:00:00,11462.64,11464.1,11451.55,11456.53,2907221,0
2016-12-27,13:00:00,11456.53,11469.31,11456.2,11465.01,2230370,0
2016-12-27,14:00:00,11464.89,11470.68,11461.14,11466.64,2237776,0
2016-12-27,15:00:00,11466.59,11467.47,11461.76,11464.29,2501052,0
2016-12-27,16:00:00,11464.34,11481.46,11461.56,11473.6,3145687,0
2016-12-27,17:00:00,11473.49,11479.82,11467.34,11473.27,2889917,0
2016-12-27,18:00:00,11473.39,11476.27,11465.47,11472.24,7627609,0
2016-12-28,10:00:00,11469.45,11473.44,11462.22,11468.63,6215451,0
2016-12-28,11:00:00,11468.46,11475.16,11465.22,11466.11,4433092,0
2016-12-28,12:00:00,11466.58,11471.34,11466.04,11469.03,3532063,0
2016-12-28,13:00:00,11469.03,11471.91,11467.63,11470.06,2425632,0
2016-12-28,14:00:00,11469.94,11472.04,11465.97,11469.05,3111408,0
2016-12-28,15:00:00,11468.93,11473.37,11468.7,11473.08,3258132,0
2016-12-28,16:00:00,11472.83,11475.89,11462.74,11465.34,4530507,0
2016-12-28,17:00:00,11467.43,11470,11460.5,11462.83,4698246,0
2016-12-28,18:00:00,11462.83,11475.24,11459.4,11474.99,14937960,0
2016-12-29,10:00:00,11411.36,11441.34,11404.82,11440.12,5802382,0
2016-12-29,11:00:00,11439.76,11446.75,11433.67,11440.17,3915439,0
2016-12-29,12:00:00,11440.52,11453.49,11434.44,11452.56,3187175,0
2016-12-29,13:00:00,11452.62,11454,11441.21,11447.07,3067023,0
2016-12-29,14:00:00,11447.07,11453.17,11445.76,11449.52,2435918,0
2016-12-29,15:00:00,11449.52,11451.14,11441.02,11445.89,2946439,0
2016-12-29,16:00:00,11446.01,11459.19,11444.9,11449.43,4596732,0
2016-12-29,17:00:00,11449.54,11455.75,11434.58,11435.78,4539678,0
2016-12-29,18:00:00,11435.69,11451.5,11432.89,11451.05,14615750,0
2016-12-30,10:00:00,11443.31,11446.71,11420.66,11438.67,5230176,0
2016-12-30,11:00:00,11438.62,11445.26,11430.09,11430.49,4049004,0
2016-12-30,12:00:00,11430.52,11432.45,11405.77,11415.35,6521464,0
2016-12-30,13:00:00,11417.46,11432.09,11415.18,11431.94,2833748,0
2016-12-30,14:00:00,11431.94,11475.14,11428.68,11462.68,6467579,0
2016-12-30,15:00:00,11461.98,11481.66,11461.98,11481.06,18002004,0
2017-01-02,10:00:00,11426.38,11530.56,11414.82,11530.56,9589128,0
2017-01-02,11:00:00,11530.56,11584.82,11530.56,11579.46,7109280,0
2017-01-02,12:00:00,11579.46,11587.6,11572.73,11577.34,3533417,0
2017-01-02,13:00:00,11577.34,11584.75,11573.5,11579.87,2683849,0
2017-01-02,14:00:00,11579.93,11582.31,11576.38,11579.05,2316367,0
2017-01-02,15:00:00,11578.72,11582.4,11573.23,11579.23,2525176,0
2017-01-02,16:00:00,11579.23,11617.28,11576.83,11603.22,4518098,0
2017-01-02,17:00:00,11603.22,11606.4,11579.47,11581.81,3741805,0
2017-01-02,18:00:00,11581.81,11598.45,11568.59,11598.33,12906699,0
2017-01-03,10:00:00,11631.7,11637.37,11595.75,11616.75,12096592,0
2017-01-03,11:00:00,11617.79,11617.95,11580.86,11602.2,7933368,0
2017-01-03,12:00:00,11602.07,11614.06,11590.39,11595.14,7122355,0
2017-01-03,13:00:00,11595.14,11609.98,11593.38,11600.02,6007237,0
2017-01-03,14:00:00,11600.03,11618.16,11599.58,11616.42,5218459,0
2017-01-03,15:00:00,11616.42,11616.42,11590.53,11592.71,5850850,0
2017-01-03,16:00:00,11592.71,11596.61,11572.46,11585.64,9894321,0
2017-01-03,17:00:00,11586.16,11627.07,11578.33,11579.9,13374674,0
2017-01-03,18:00:00,11579.9,11585.38,11561.23,11584.24,23650029,0
2017-01-04,10:00:00,11609.53,11616.09,11562.3,11564.63,14372253,0
2017-01-04,11:00:00,11564.63,11570.41,11549,11567.75,7516007,0
2017-01-04,12:00:00,11567.59,11574.23,11535.2,11536.78,6293383,0
2017-01-04,13:00:00,11536.78,11558.51,11531.43,11548.47,5637307,0
2017-01-04,14:00:00,11548.12,11559.03,11542.35,11555.89,4960226,0
2017-01-04,15:00:00,11555.89,11579.21,11555.1,11568.83,6638186,0
2017-01-04,16:00:00,11568.72,11570.27,11537.37,11542.74,7812419,0
2017-01-04,17:00:00,11547.64,11559.21,11542.81,11555.81,7951851,0
2017-01-04,18:00:00,11555.84,11584.31,11555.84,11584.31,23533416,0
2017-01-05,10:00:00,11537.73,11584.84,11537.4,11570,12908298,0
2017-01-05,11:00:00,11569.88,11602.54,11561.24,11594.69,8473101,0
2017-01-05,12:00:00,11594.62,11597.33,11552.5,11574.5,6884925,0
2017-01-05,13:00:00,11574.62,11585.74,11570.41,11581.31,4944612,0
2017-01-05,14:00:00,11581.44,11582.06,11553.4,11562.77,4445616,0
2017-01-05,15:00:00,11562.74,11577.12,11559.65,11574.11,3994176,0
2017-01-05,16:00:00,11574.11,11591.85,11568.69,11591.69,5351934,0
2017-01-05,17:00:00,11590.26,11598.88,11562.53,11577.01,8055351,0
2017-01-05,18:00:00,11577.11,11584.94,11548.93,11584.94,22184235,0
2017-01-06,10:00:00,11560.52,11577.88,11553.93,11558.32,7376225,0
2017-01-06,11:00:00,11558.35,11564.06,11547.05,11555.19,7249012,0
2017-01-06,12:00:00,11555.19,11568.87,11550.72,11567.44,5647556,0
2017-01-06,13:00:00,11568.86,11580.76,11562.68,11575.88,4031574,0
2017-01-06,14:00:00,11575.88,11580.78,11562.72,11563.56,3583958,0
2017-01-06,15:00:00,11563.56,11605.74,11558.58,11599.58,7732652,0
2017-01-06,16:00:00,11599.56,11604.43,11558.96,11575.28,6647659,0
2017-01-06,17:00:00,11575.38,11590.86,11573.47,11590.33,6996774,0
2017-01-06,18:00:00,11590.28,11603.14,11584.67,11599.01,19894331,0
