days,<TIME>,<OPEN>,<HIGH>,<LOW>
364,16,11581.97,11582.43,11577.51
367,9,11580.76,11694.59,11577.35
367,10,11694.06,11704.46,11677.26
367,11,11702.01,11711.47,11693.07
367,12,11701.55,11709.99,11693.83
367,13,11699.39,11707.3,11697.2
367,14,11705.83,11709.69,11695.38
369,9,11689.74,11689.97,11652.89
369,10,11669.01,11690.39,11663.82
369,11,11680.74,11726.11,11674.19
369,12,11718.62,11740.34,11717.94
369,13,11735.34,11742.68,11722.21
369,14,11736.63,11739.92,11719.26
369,15,11728.12,11737.73,11716.23
369,16,11724.71,11724.71,11722.89
370,9,11717.54,11729.59,11709.04
370,10,11708.89,11736.74,11701.44
370,11,11707.04,11707.27,11667.46
370,12,11683.8,11695.65,11670.22
370,13,11690.31,11699.32,11675.1
370,14,11699.96,11707.0,11673.25
370,15,11680.81,11703.18,11670.82
370,16,11694.21,11697.31,11694.21
371,9,11694.82,11726.94,11682.82
371,10,11690.16,11716.23,11673.93
371,11,11685.47,11687.47,11635.93
371,12,11654.59,11655.38,11599.68
371,13,11626.7,11651.68,11623.14
371,14,11639.72,11665.68,11637.94
371,15,11656.82,11679.07,11652.43
371,16,11674.15,11674.91,11673.85
374,9,11672.94,11677.33,11573.87
374,10,11580.12,11622.27,11575.61
374,11,11604.15,11632.53,11591.17
374,12,11631.58,11639.79,11619.51
374,13,11628.02,11640.32,11627.23
374,14,11631.88,11645.09,11618.34
374,15,11641.69,11650.39,11634.53
374,16,11637.67,11637.67,11636.92
375,9,11638.51,11698.75,11638.43
375,10,11673.06,11690.77,11671.39
375,11,11689.14,11704.12,11684.64
375,12,11690.8,11699.7,11683.77
375,13,11697.96,11701.25,11648.65
375,14,11651.41,11667.83,11635.48
375,15,11665.41,11679.72,11660.27
375,16,11672.64,11672.79,11671.81
376,9,11673.62,11733.49,11673.62
376,10,11727.96,11759.26,11725.01
376,11,11754.72,11777.05,11751.92
376,12,11768.72,11782.23,11765.43
376,13,11765.84,11768.57,11758.84
376,14,11767.89,11768.23,11755.7
376,15,11762.36,11762.48,11738.56
376,16,11755.74,11755.74,11755.29
377,9,11754.45,11757.25,11731.86
377,10,11742.53,11744.35,11716.57
377,11,11736.48,11751.39,11732.73
377,12,11735.27,11746.54,11729.44
377,13,11735.12,11736.55,11721.64
377,14,11727.85,11729.89,11703.18
377,15,11709.91,11731.14,11700.53
377,16,11731.22,11731.9,11731.22
378,9,11732.13,11733.49,11698.83
